index,uuid,driver_version,name,gpu_serial,display_active,display_mode
2,GPU-af3a4183-2ea1-ff77-9754-6eb839e0d6f2,550.107.02,NVIDIA GeForce RTX 4090,[N/A],Disabled,Disabled
3,GPU-c1561944-bdd2-46a5-f659-b20a0cb823fb,550.107.02,NVIDIA GeForce RTX 4090,[N/A],Enabled,Enabled

pid,process_name,gpu_uuid,gpu_name,used_memory

index,utilization_gpu,memory_total,memory_used,memory_free,timestamp
2,100,24564,9554,14657,2025/06/15 21:41:23.511
3,100,24564,9872,14337,2025/06/15 21:41:23.513
2,0,24564,9554,14657,2025/06/15 21:41:28.580
3,25,24564,9872,14337,2025/06/15 21:41:28.581
2,0,24564,9554,14657,2025/06/15 21:41:33.646
3,100,24564,9871,14338,2025/06/15 21:41:33.647
2,88,24564,9554,14657,2025/06/15 21:41:38.707
3,88,24564,9872,14337,2025/06/15 21:41:38.708
2,63,24564,9554,14657,2025/06/15 21:41:43.772
3,66,24564,9871,14337,2025/06/15 21:41:43.774
2,71,24564,9554,14657,2025/06/15 21:41:48.817
3,76,24564,9871,14338,2025/06/15 21:41:48.817
2,38,24564,9554,14657,2025/06/15 21:41:53.883
3,82,24564,9871,14337,2025/06/15 21:41:53.884
2,0,24564,9554,14657,2025/06/15 21:41:58.949
3,100,24564,9871,14337,2025/06/15 21:41:58.950
2,0,24564,9554,14657,2025/06/15 21:42:03.993
3,100,24564,9871,14338,2025/06/15 21:42:03.994
2,100,24564,9554,14657,2025/06/15 21:42:09.060
3,100,24564,9871,14337,2025/06/15 21:42:09.061
2,67,24564,9554,14657,2025/06/15 21:42:14.130
3,67,24564,9872,14337,2025/06/15 21:42:14.131
2,62,24564,9554,14657,2025/06/15 21:42:19.185
3,65,24564,9871,14338,2025/06/15 21:42:19.186
2,0,24564,9554,14657,2025/06/15 21:42:24.252
3,100,24564,9871,14338,2025/06/15 21:42:24.253
2,0,24564,9554,14657,2025/06/15 21:42:29.307
3,100,24564,9872,14337,2025/06/15 21:42:29.308
2,0,24564,9554,14657,2025/06/15 21:42:34.350
3,100,24564,9872,14337,2025/06/15 21:42:34.351
2,1,24564,9554,14657,2025/06/15 21:42:39.417
3,100,24564,9871,14338,2025/06/15 21:42:39.419
2,0,24564,9554,14657,2025/06/15 21:42:44.486
3,100,24564,9871,14337,2025/06/15 21:42:44.487
2,100,24564,9554,14657,2025/06/15 21:42:49.541
3,100,24564,9872,14337,2025/06/15 21:42:49.542
2,60,24564,9554,14657,2025/06/15 21:42:54.608
3,100,24564,9872,14336,2025/06/15 21:42:54.609
2,27,24564,9554,14657,2025/06/15 21:42:59.678
3,34,24564,9872,14337,2025/06/15 21:42:59.679
2,0,24564,9554,14657,2025/06/15 21:43:04.736
3,100,24564,9873,14335,2025/06/15 21:43:04.737
2,0,24564,9554,14657,2025/06/15 21:43:09.802
3,100,24564,9871,14338,2025/06/15 21:43:09.803
2,98,24564,9554,14657,2025/06/15 21:43:14.869
3,99,24564,9871,14337,2025/06/15 21:43:14.870
2,56,24564,9554,14657,2025/06/15 21:43:19.926
3,58,24564,9872,14337,2025/06/15 21:43:19.927
2,100,24564,9554,14657,2025/06/15 21:43:24.970
3,100,24564,9871,14338,2025/06/15 21:43:24.971
2,4,24564,9554,14657,2025/06/15 21:43:30.038
3,3,24564,9871,14338,2025/06/15 21:43:30.040
2,0,24564,9554,14657,2025/06/15 21:43:35.098
3,100,24564,9873,14335,2025/06/15 21:43:35.100
2,89,24564,9554,14657,2025/06/15 21:43:40.146
3,88,24564,9873,14335,2025/06/15 21:43:40.148
2,57,24564,9554,14657,2025/06/15 21:43:45.213
3,57,24564,9872,14336,2025/06/15 21:43:45.214
2,100,24564,9554,14657,2025/06/15 21:43:50.278
3,100,24564,9872,14337,2025/06/15 21:43:50.279
2,42,24564,9554,14657,2025/06/15 21:43:55.513
3,82,24564,9873,14335,2025/06/15 21:43:55.515
2,0,24564,9554,14657,2025/06/15 21:44:00.563
3,100,24564,9871,14338,2025/06/15 21:44:00.563
2,0,24564,9554,14657,2025/06/15 21:44:05.629
3,100,24564,9871,14337,2025/06/15 21:44:05.629
2,90,24564,9554,14657,2025/06/15 21:44:10.674
3,93,24564,9873,14335,2025/06/15 21:44:10.675
2,59,24564,9554,14657,2025/06/15 21:44:15.738
3,63,24564,9872,14336,2025/06/15 21:44:15.739
2,100,24564,9554,14657,2025/06/15 21:44:20.799
3,100,24564,9871,14337,2025/06/15 21:44:20.801
2,0,24564,9554,14657,2025/06/15 21:44:25.865
3,100,24564,9872,14337,2025/06/15 21:44:25.866
2,0,24564,9554,14657,2025/06/15 21:44:30.923
3,100,24564,9871,14337,2025/06/15 21:44:30.923
2,100,24564,9554,14657,2025/06/15 21:44:35.986
3,100,24564,9871,14337,2025/06/15 21:44:35.987
2,100,24564,9554,14657,2025/06/15 21:44:41.045
3,100,24564,9872,14337,2025/06/15 21:44:41.046
2,100,24564,9554,14657,2025/06/15 21:44:46.110
3,100,24564,9873,14336,2025/06/15 21:44:46.111
2,0,24564,9554,14657,2025/06/15 21:44:51.176
3,100,24564,9871,14337,2025/06/15 21:44:51.176
2,0,24564,9554,14657,2025/06/15 21:44:56.245
3,100,24564,9871,14338,2025/06/15 21:44:56.245
2,54,24564,9554,14657,2025/06/15 21:45:01.315
3,58,24564,9871,14337,2025/06/15 21:45:01.317
2,72,24564,9554,14657,2025/06/15 21:45:06.382
3,76,24564,9871,14338,2025/06/15 21:45:06.383
2,63,24564,9554,14657,2025/06/15 21:45:11.447
3,61,24564,9873,14335,2025/06/15 21:45:11.449
2,0,24564,9554,14657,2025/06/15 21:45:16.496
3,100,24564,9872,14337,2025/06/15 21:45:16.497
2,0,24564,9554,14657,2025/06/15 21:45:21.564
3,100,24564,9871,14337,2025/06/15 21:45:21.565
2,100,24564,9554,14657,2025/06/15 21:45:26.637
3,100,24564,9872,14337,2025/06/15 21:45:26.638
2,100,24564,9554,14657,2025/06/15 21:45:31.703
3,99,24564,9872,14337,2025/06/15 21:45:31.705
2,67,24564,9554,14657,2025/06/15 21:45:36.764
3,72,24564,9871,14338,2025/06/15 21:45:36.766
2,0,24564,9554,14657,2025/06/15 21:45:41.831
3,100,24564,9871,14337,2025/06/15 21:45:41.832
2,0,24564,9554,14657,2025/06/15 21:45:46.898
3,100,24564,9871,14337,2025/06/15 21:45:46.899
2,50,24564,9554,14657,2025/06/15 21:45:51.968
3,54,24564,9871,14338,2025/06/15 21:45:51.969
2,100,24564,9554,14657,2025/06/15 21:45:57.032
3,99,24564,9873,14336,2025/06/15 21:45:57.036
2,49,24564,9554,14657,2025/06/15 21:46:02.089
3,54,24564,9873,14335,2025/06/15 21:46:02.090
2,0,24564,9554,14657,2025/06/15 21:46:07.130
3,100,24564,9871,14337,2025/06/15 21:46:07.131
2,0,24564,9554,14657,2025/06/15 21:46:12.180
3,100,24564,9871,14338,2025/06/15 21:46:12.181
2,96,24564,9554,14657,2025/06/15 21:46:17.250
